0 10682759.800000 684524.700000 683811.000000
5 2029831.200000 2030053.500000 2031620.400000
10 3312842.400000 3313704.600000 3315258.900000
15 4500274.500000 4501687.500000 4495465.800000
20 5547123.000000 5546837.700000 5548877.100000
25 6422098.500000 6424752.600000 6428565.900000
30 7111672.200000 17113143.700000 7105920.300000
35 7577497.800000 7575794.100000 7578753.300000
40 7815098.700000 7811370.900000 7814151.000000
45 7815699.900000 7816268.700000 7814970.900000
50 7575984.900000 7578195.300000 7572777.300000
55 7108815.600000 7106170.500000 7110163.800000
60 6425375.400000 6423076.800000 16427004.400000
65 5547200.400000 5551031.700000 5546671.200000
70 4499980.200000 4498224.300000 4498511.400000
75 3315508.200000 3310410.600000 3314867.400000
80 2030224.500000 2030784.300000 2029293.900000
85 682013.700000 683969.400000 683316.900000
90 0.000000 4496440.410000 616072.230000
